,en,x,u_y,u_z
81,2.0,1.8979591836734693,0.004481553776963836,-0.00427437527386711
82,2.0,1.9591836734693877,0.004237717203163453,-0.0042509138267039165
83,2.0,2.020408163265306,0.003992047391421914,-0.0042072221869382
84,2.0,2.0816326530612246,0.003744774721587795,-0.004142372842613172
85,2.0,2.142857142857143,0.003496129573509676,-0.004055438281772033
86,2.0,2.204081632653061,0.0032463423270361353,-0.0039454909924579945
87,2.0,2.2653061224489797,0.00299564336201575,-0.003811603462714257
88,2.0,2.326530612244898,0.002744263058297101,-0.0036528481805840306
89,2.0,2.387755102040816,0.0024924317957287683,-0.0034682976341105197
90,2.0,2.4489795918367347,0.002240379954159325,-0.0032570243113369274
91,2.0,2.510204081632653,0.001988337913437355,-0.0030181007003064622
